Hochschule für Gestaltung Offenbach am Main;http://www.hfg-offenbach.de;Unbekannt
Fachhochschule für Finanzen Nordrhein-Westfalen (Nordkirchen);http://fhf-nordkirchen.de;Unbekannt
Evangelische Hochschule Moritzburg;http://www.eh-moritzburg.de;Unbekannt
Deutsche Hochschule der Polizei (Münster);http://www.dhpol.de;Unbekannt
Filmuniversität Babelsberg (Potsdam);http://www.filmuniversitaet.de;TYPO3;4.5
Europäische Fernhochschule Hamburg;http://www.euro-fh.de;
Hochschule für Künste im Sozialen Ottersberg;http://www.hks-ottersberg.de;Unbekannt
Fachhochschule Kiel;http://www.fh-kiel.de;TYPO3;4.1
Hochschule für Musik und Tanz Köln;http://www.hfmt-koeln.de;TYPO3;6.2
Technische Universität Darmstadt;http://www.tu-darmstadt.de;
Universität Passau;http://www.uni-passau.de;TYPO3
Fachhochschule Schmalkalden;http://www.hs-schmalkalden.de;
Hochschule Ruhr West (Mülheim, Bottrop);http://hochschule-ruhr-west.de;TYPO3
Munich Business School (München);http://www.munich-business-school.de;TYPO3
Hochschule Bremerhaven;http://www.hs-bremerhaven.de;TYPO3
Philosophisch-Theologische Hochschule Münster;http://www.pth-muenster.de;
Hochschule Fresenius (Idstein);http://www.hs-fresenius.de;TYPO3
Universität Duisburg-Essen;http://www.uni-due.de;Imperia;8.6.34
Freie Hochschule Stuttgart;http://www.freie-hochschule-stuttgart.de;TYPO3
Hessische Hochschule für Finanzen und Rechtspflege (Rotenburg an der Fulda);http://www.studienzentrum-rotenburg.de;Unbekannt
Westfälische Wilhelms-Universität (Münster);http://www.uni-muenster.de;Imperia;8.6.34
Fachhochschule des Mittelstands (Bielefeld);http://www.fh-mittelstand.de;TYPO3;4.5
Rheinische Fachhochschule Neuss für Internationale Wirtschaft;http://www.hs-neuss.de;TYPO3;4.6
Hochschule der Sparkassen-Finanzgruppe (Bonn);http://www.s-hochschule.de;TYPO3
Hochschule für Gestaltung Schwäbisch Gmünd;http://www.hfg-gmuend.de;Unbekannt
Jade Hochschule (Wilhelmshaven, Oldenburg, Elsfleth);http://www.jade-hs.de;Unbekannt
Kirchliche Hochschule Wuppertal/Bethel;http://www.kiho-wb.de;
Hertie School of Governance (Berlin);http://www.hertie-school.org;TYPO3
Norddeutsche Akademie für Finanzen und Steuerrecht (Hamburg);http://www.hamburg.de/fb/norddeutsche-akademie-fuer-finanzen-und-steuerrecht-hamburg/;Unbekannt
Technische Hochschule Wildau (FH);http://www.th-wildau.de;TYPO3;4.5
Hochschule Aschaffenburg;http://www.h-ab.de;TYPO3;4.5
Katholische Hochschule Mainz;http://www.kh-mz.de;TYPO3
HFH Hamburger Fern-Hochschule;http://www.hamburger-fh.de;Unbekannt
Hochschule für angewandte Wissenschaften Coburg;http://www.hs-coburg.de;TYPO3
Hochschule Niederrhein (Krefeld/Mönchengladbach);http://www.hs-niederrhein.de;TYPO3;4.5
Fachhochschule für Finanzen (Edenkoben);http://www.fachhochschule-edenkoben.de;TYPO3
Hamburg School of Business Administration;http://www.hsba.de;TYPO3;4.5
Leuphana Universität Lüneburg;http://www.leuphana.de;TYPO3
Friedrich-Alexander-Universität Erlangen-Nürnberg;http://fau.de;
Hochschule Trier;http://www.hochschule-trier.de;TYPO3;4.5
Evangelische Hochschule für Soziale Arbeit &amp; Diakonie (Hamburg);http://www.ev-hochschule-hh.de;Unbekannt
Fliedner Fachhochschule Düsseldorf;http://www.fliedner-fachhochschule.de;
Kommunale Hochschule für Verwaltung in Niedersachsen (Hannover);http://www.nds-sti.de;Unbekannt
Mediadesign Hochschule (Berlin);http://www.mediadesign.de;Unbekannt
Ruhr-Universität Bochum;http://www.ruhr-uni-bochum.de;Imperia;8.6.34
Theologisches Seminar Elstal (Fachhochschule);http://www.th-elstal.de;TYPO3
Evangelische Hochschule für Kirchenmusik Dresden;http://www.kirchenmusik-dresden.de;Contao
Hochschule für Musik, Theater und Medien Hannover;http://www.hmtm-hannover.de;TYPO3
Kunsthochschule für Medien Köln;http://www.khm.de;Unbekannt
Universität Hohenheim (Stuttgart);http://www.uni-hohenheim.de;TYPO3;4.7
Technische Universität Hamburg-Harburg;http://www.tuhh.de/;TYPO3
Duale Hochschule Baden-Württemberg (Stuttgart);http://www.dhbw.de;TYPO3
Hochschule Harz (Wernigerode und Halberstadt);http://www.hs-harz.de;TYPO3
Eberhard Karls Universität Tübingen;http://www.uni-tuebingen.de;TYPO3
Leibniz-Akademie Hannover (Hannover);http://www.leibniz-akademie.de;TYPO3
Universität zu Lübeck;http://www.uni-luebeck.de;TYPO3
HafenCity Universität Hamburg;http://www.hcu-hamburg.de;TYPO3
Technische Hochschule Mittelhessen (Gießen, Friedberg, Wetzlar);http://www.thm.de;
Hochschule für Musik Würzburg;http://www.hfm-wuerzburg.de;
Philipps-Universität Marburg;http://www.uni-marburg.de;Plone
bbw Hochschule (Berlin);http://www.bbw-hochschule.de;Unbekannt
Fachhochschule Bielefeld;http://www.fh-bielefeld.de;Unbekannt
SRH Hochschule für Wirtschaft und Medien Calw;http://www.hochschule-calw.de;TYPO3;4.5
Deutsche Universität für Verwaltungswissenschaften Speyer;http://www.uni-speyer.de;
EBZ Business School (Bochum);http://www.ebz-business-school.de;Unbekannt
Hochschule für Angewandte Wissenschaften Hamburg;http://www.haw-hamburg.de/;TYPO3
Hochschule für Wirtschaft und Recht Berlin;http://www.hwr-berlin.de;TYPO3;4.5
Hochschule für Musik Karlsruhe;http://hfm-karlsruhe.de;
Hochschule Ludwigshafen am Rhein;http://www.hs-lu.de;TYPO3
Hessische Hochschule für Polizei und Verwaltung (Wiesbaden);http://www.hfpv.hessen.de;Unbekannt
Universität Bielefeld;http://www.uni-bielefeld.de;Unbekannt
Popakademie Baden-Württemberg (Mannheim);http://www.popakademie.de;Plone
Hochschule für Musik Trossingen;http://www.mh-trossingen.de;TYPO3
Friedrich-Schiller-Universität Jena;http://www.uni-jena.de;Unbekannt
Technische Universität Dortmund;http://www.tu-dortmund.de;Infopark CMS Fiona;7.0.1
Karlsruher Institut für Technologie;http://kit.edu;Unbekannt
Evangelische Hochschule Tabor (Marburg);http://www.eh-tabor.de;TYPO3
Technische Universität Ilmenau;http://www.tu-ilmenau.de;TYPO3;4.5
Brandenburgische Technische Universität Cottbus-Senftenberg;http://www.b-tu.de;TYPO3
Rheinische Fachhochschule Köln;http://www.rfh-koeln.de;ZMS
Fachhochschule für Finanzen Brandenburg (Königs Wusterhausen);http://www.fhf-kw.brandenburg.de;Unbekannt
Hochschule Offenburg;http://www.hs-offenburg.de;TYPO3
Gottfried Wilhelm Leibniz Universität Hannover;http://www.uni-hannover.de;TYPO3
Hochschule für Kirchenmusik der Evangelischen Kirche von Westfalen (Herford);http://www.hochschule-herford.de;TYPO3;4.5
Hochschule für Katholische Kirchenmusik und Musikpädagogik Regensburg;http://www.hfkm-regensburg.de;TYPO3;4.5
Christian-Albrechts-Universität zu Kiel;http://www.uni-kiel.de;Unbekannt
Hochschule für Kirchenmusik Heidelberg;http://www.hfk-heidelberg.de;TYPO3;4.5
Hochschule für Musik Nürnberg;http://www.hfm-nuernberg.de;TYPO3
Brand Academy – Hochschule für Design und Kommunikation (Hamburg);http://www.brand-acad.de;
Theologische Hochschule Ewersbach;http://th-ewersbach.de;
Universität Kassel;http://www.uni-kassel.de;TYPO3;4.5
Ernst-Moritz-Arndt-Universität Greifswald;http://www.uni-greifswald.de;TYPO3
Hochschule Mannheim;http://www.hs-mannheim.de;TYPO3
Handelshochschule Leipzig;http://www.hhl.de;TYPO3
Hochschule für Musik und Theater Hamburg;http://www.hfmt-hamburg.de;TYPO3;4.5
Lutherische Theologische Hochschule Oberursel;http://www.lthh-oberursel.de;
Universität Witten/Herdecke;http://www.uni-wh.de;TYPO3
Fachhochschule für die Wirtschaft (Hannover);http://www.fhdw-hannover.de;Unbekannt
Staatliche Akademie der Bildenden Künste Karlsruhe;http://www.kunstakademie-karlsruhe.de;Unbekannt
SRH Fachhochschule für Gesundheit Gera;http://www.srh-gesundheitshochschule.de;TYPO3
Hochschule Hof;http://www.hof-university.de;TYPO3
Hochschule für Kunst, Design und Populäre Musik Freiburg;http://hkdm.de;TYPO3
Universität des Saarlandes (Saarbrücken, Homburg);http://www.uni-saarland.de;TYPO3
Katholische Hochschule Nordrhein-Westfalen (Köln, Münster, Paderborn, Aachen);http://www.katho-nrw.de;TYPO3
Fachhochschule Potsdam;http://www.fh-potsdam.de;TYPO3;4.5
